Fonction;Expérience fonction;Niveau Etudes;Structure;Secteur Activité;Taille Société;Nbre dossiers gérés mensuellement;Paie internalisée ou externalisée;Nbre Bulletins Produits;Nbre Bulletins Supervisés;Nbre de CCN;Management;Volume de paies supervisées;Nbre de personnes supervisées;Quelle est votre expérience totale ?;Combien de jours de télétravail avez vous par semaine ?;Rémunération brute;Avez vous primes et avantages salariaux (hors légal) ?;Anglais dans votre quotidien pro ?;Dans quel département travaillez vous ?;Quel est votre sexe ?;Quelle est votre tranche d'âge ?;Poste;Localisation
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;6 à 10;Non;NC;NC;1 à 3 ans;1;34800;Oui;Non;69;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;+ 12 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Oui;3 001 à 5 000;6 à 10;+ de 21 ans;2;51000;Oui;Non;57;Femme;46 à 55 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Transport / Logistique;5001 à 10 000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;8 à 12 ans;1;42000;Oui;Oui, écrit et oral;13;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+3;Cabinet d'Expertise Comptable;NC;51 à 250;21 à 40;Internalisée (tout est géré en interne);- de 50;NC;6 à 10;Non;NC;NC;1 à 3 ans;0;25025;Oui;Non;25;Femme;- 25 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Edition / Communication / Multimédia;10 001 à 30 000;NC;Internalisée (tout est géré en interne);151 à 300;NC;2 à 3;Non;NC;NC;1 à 3 ans;2;35000;Non;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+5;Société d'externalisation de paies;NC;30 001;91;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Non;NC;NC;1 à 3 ans;2;35000;Non;Oui, écrit et oral;45;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Directeur/trice Paie;8 à 12 ans;Bac+3;Cabinet d'Expertise Comptable;NC;51 à 250;-10;Internalisée (tout est géré en interne);51 à 150;NC;10;Oui;- de 500;21 à 40;+ de 21 ans;1;65000;Oui;Oui, écrit et oral;69;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;8 à 12 ans;Bac+5;Entreprise;Etudes / Conseils;2500 à 5000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;3;48936;Oui;Non;93;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie;1 à 3 ans;Bac+3;Entreprise;Service à la personne;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;4 à 6;Oui;1 501 à 3 000;6 à 10;8 à 12 ans;2;49000;Oui;Non;75;Homme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie;4 à 7 ans;Bac+3;Entreprise;Etudes / Conseils;251 à 1000;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;501 à 1 500;2 à 5;15 à 20 ans;3;57000;Oui;Non;33;Femme;46 à 55 ans;Responsable Paie;Hors IDF
Responsable Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;251 à 1000;-10;Internalisée (tout est géré en interne);301 à 500;NC;6 à 10;Oui;- de 500;6 à 10;8 à 12 ans;4;42500;Oui;Oui, écrit et oral;42;Homme;26 à 35 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac;Cabinet d'Expertise Comptable;NC;251 à 1000;61 à 90;Internalisée (tout est géré en interne);151 à 300;NC;10;Non;NC;NC;1 à 3 ans;2;23500;Non;Non;34;Homme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+5;Entreprise;Industries;51 à 250;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);51 à 150;NC;1;Non;NC;NC;15 à 20 ans;2;47000;Oui;Oui, écrit et oral;69;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Responsable Paie;8 à 12 ans;Bac+5;Cabinet d'Expertise Comptable;NC;2500 à 5000;-10;Internalisée (tout est géré en interne);501 à 700;NC;2 à 3;Non;NC;NC;8 à 12 ans;4;57000;Oui;Oui, écrit et oral;92;Femme;26 à 35 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Commerce / Négoce / Distribution;51 à 250;NC;Internalisée (tout est géré en interne);- de 50;NC;1;Non;NC;NC;4 à 7 ans;0;26000;Oui;Non;83;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;21 à 40;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;10;Oui;501 à 1 500;2 à 5;15 à 20 ans;2;50000;Oui;Non;54;Homme;46 à 55 ans;Responsable Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+2;Entreprise;Service public;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Oui;501 à 1 500;2 à 5;+ de 21 ans;1;45000;Non;Non;1;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;251 à 1000;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;1 à 3 ans;2;35000;Oui;Non;78;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;10;Oui;- de 500;1;4 à 7 ans;3;45000;Non;;75;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+5;Entreprise;Services aux entreprises;51 à 250;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;501 à 1 500;2 à 5;8 à 12 ans;0;43200;Non;Non;75;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+3;Entreprise;Commerce / Négoce / Distribution;10 001 à 30 000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Oui;- de 500;1;4 à 7 ans;3;35000;Non;Non;95;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;BTP / Travaux / Construction;10 001 à 30 000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;2;40000;Oui;Non;95;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Société d'externalisation de paies;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Oui;- de 500;1;4 à 7 ans;3;30000;Oui;Non;41;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;4 à 7 ans;Bac+2;Entreprise;Automobile;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Oui;501 à 1 500;1;8 à 12 ans;0;45000;Oui;Non;61;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Responsable Paie;+ 12 ans;Bac;Entreprise;Etudes / Conseils;251 à 1000;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;301 à 500;1;Non;NC;NC;+ de 21 ans;2;60000;Oui;Non;44;Homme;46 à 55 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;+ 12 ans;Bac;Entreprise;Service public;2500 à 5000;NC;Internalisée (tout est géré en interne);701;NC;6 à 10;Non;NC;NC;15 à 20 ans;2;34000;Oui;Non;75;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Responsable Paie;8 à 12 ans;Bac+2;Entreprise;Edition / Communication / Multimédia;Moins de 50;NC;Internalisée (tout est géré en interne);- de 50;NC;2 à 3;Non;NC;NC;8 à 12 ans;2;48000;Oui;Non;93;Femme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie Adjoint(e);8 à 12 ans;Bac+2;Entreprise;Médico Social;10 001 à 30 000;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;10 001 à 25 000;11 à 20;15 à 20 ans;2;52500;Non;Non;33;Femme;36 à 45 ans;Responsable Adjoint Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Entreprise;Médico Social;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;1 à 3 ans;0;30000;Oui;Non;59;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;+ 12 ans;Bac+3;Entreprise;Associatif;2500 à 5000;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Oui;3 001 à 5 000;2 à 5;15 à 20 ans;0;40000;Non;Non;94;Femme;+ 56 ans;Gestionnaire Paie;IDF
Responsable Paie;4 à 7 ans;Bac+5;Entreprise;Informatique / Télécoms;Moins de 50;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;- de 50;1;Non;NC;NC;8 à 12 ans;2;43200;Non;Non;94;Femme;46 à 55 ans;Responsable Paie;IDF
Responsable Paie;8 à 12 ans;Bac+5;Entreprise;Services aux entreprises;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;4 à 6;Oui;- de 500;6 à 10;8 à 12 ans;1;39000;Non;Non;34;Femme;46 à 55 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Etudes / Conseils;251 à 1000;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;8 à 12 ans;4;41000;Oui;Oui, écrit;92;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Service public;1000 à 2500;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;2;24000;Oui;Non;93;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;HCR (Hotels, Cafés, Restaurants);2500 à 5000;NC;Internalisée (tout est géré en interne);151 à 300;NC;1;Non;NC;NC;4 à 7 ans;2;37000;Non;Non;92;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;- 1 an;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;21 à 40;Internalisée (tout est géré en interne);151 à 300;NC;10;Non;NC;NC;- 1 an;0;34000;Non;Non;94;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Santé - Etablissements Hospitaliers;Moins de 50;NC;Internalisée (tout est géré en interne);301 à 500;NC;2 à 3;Oui;- de 500;1;4 à 7 ans;3;36000;Oui;Non;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Entreprise;Commerce / Négoce / Distribution;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;8 à 12 ans;0;42000;Non;Non;95;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie Adjoint(e);- 1 an;Bac+3;Entreprise;Commerce / Négoce / Distribution;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;- de 500;6 à 10;1 à 3 ans;1;30000;Non;Oui, écrit;95;Femme;26 à 35 ans;Responsable Adjoint Paie;IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);151 à 300;NC;6 à 10;Non;NC;NC;4 à 7 ans;0;36000;Oui;Non;76;Femme;46 à 55 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;1 à 3 ans;2;30000;Oui;Non;14;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;4 à 7 ans;1;26000;Oui;Non;49;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Responsable Paie;+ 12 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;11 à 20;Internalisée (tout est géré en interne);151 à 300;NC;4 à 6;Oui;3 001 à 5 000;2 à 5;15 à 20 ans;4;61425;Oui;Oui, écrit;75;Femme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie & SIRH;4 à 7 ans;Bac;Entreprise;Commerce / Négoce / Distribution;1000 à 2500;NC;Totalement externalisée (la production du BS est gérée par le prestataire);NC;701;1;Oui;1 501 à 3 000;2 à 5;8 à 12 ans;0;43800;Oui;Non;63;Femme;46 à 55 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;+ 12 ans;Bac;Entreprise;Retail;1000 à 2500;NC;Internalisée (tout est géré en interne);151 à 300;NC;4 à 6;Oui;- de 500;1;- 1 an;2;33000;Non;Non;75;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;1 à 3 ans;Bac+2;Entreprise;BTP / Travaux / Construction;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;4 à 6;Non;NC;NC;1 à 3 ans;0;28000;Oui;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;+ 12 ans;Bac+5;Cabinet d'Expertise Comptable;NC;51 à 250;21 à 40;Internalisée (tout est géré en interne);501 à 700;NC;10;Oui;3 001 à 5 000;6 à 10;15 à 20 ans;0;51000;Oui;Non;74;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+2;Entreprise;Métallurgie;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;1;Non;NC;NC;4 à 7 ans;0;33000;Oui;Non;25;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Responsable Paie;1 à 3 ans;Bac+5;Cabinet d'Expertise Comptable;NC;51 à 250;91;Internalisée (tout est géré en interne);151 à 300;NC;10;Oui;3 001 à 5 000;11 à 20;8 à 12 ans;1;48000;Oui;Non;76;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);501 à 700;NC;10;Non;NC;NC;15 à 20 ans;2;40000;Oui;Non;13;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+5;Cabinet d'Expertise Comptable;NC;51 à 250;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;4 à 6;Non;NC;NC;8 à 12 ans;2;45000;Oui;Non;75;Homme;36 à 45 ans;Gestionnaire Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Entreprise;Transport / Logistique;30 001;NC;Internalisée (tout est géré en interne);701;NC;1;Non;NC;NC;4 à 7 ans;2;38300;Oui;Oui, écrit et oral;31;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;- 1 an;Bac+5;Entreprise;Services aux entreprises;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;4 à 6;Non;NC;NC;1 à 3 ans;1;26000;Oui;Non;44;Femme;- 25 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie & ADP;4 à 7 ans;Bac+3;Entreprise;Agroalimentaire;51 à 250;NC;Internalisée (tout est géré en interne);51 à 150;NC;2 à 3;Non;NC;NC;4 à 7 ans;1;32445;Oui;Non;44;Femme;26 à 35 ans;Gestionnaire Paie;Hors IDF
Directeur/trice Paie;1 à 3 ans;Bac;Entreprise;Commerce / Négoce / Distribution;30 001;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);301 à 500;NC;1;Oui;- de 500;2 à 5;+ de 21 ans;2;115000;Non;Oui, écrit et oral;92;Homme;+ 56 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Internalisée (tout est géré en interne);301 à 500;NC;4 à 6;Non;NC;NC;1 à 3 ans;1;33000;Oui;Non;37;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;61 à 90;Internalisée (tout est géré en interne);301 à 500;NC;10;Non;NC;NC;4 à 7 ans;2;32500;Non;Non;38;Femme;36 à 45 ans;Gestionnaire Paie;Hors IDF
Responsable Paie Adjoint(e);4 à 7 ans;Bac+5;Entreprise;Banque / Assurance / Mutuelle;1000 à 2500;NC;Internalisée (tout est géré en interne);701;NC;1;Oui;1 501 à 3 000;2 à 5;8 à 12 ans;2;45000;Oui;Non;79;Femme;36 à 45 ans;Responsable Adjoint Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Entreprise;Santé - Etablissements Hospitaliers;10 001 à 30 000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;1;Non;NC;NC;4 à 7 ans;2;22300;Oui;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie;- 1 an;Bac+2;Société d'externalisation de paies;NC;1000 à 2500;-10;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;1;Oui;3 001 à 5 000;6 à 10;4 à 7 ans;5;44000;Non;Non;92;Femme;- 25 ans;Responsable Paie;IDF
Consultant(e) Paie;1 à 3 ans;Bac+2;Société d'externalisation de paies;NC;51 à 250;-10;Internalisée (tout est géré en interne);701;NC;2 à 3;Non;NC;NC;8 à 12 ans;4;46000;Non;Non;92;Femme;36 à 45 ans;Consultant Paie;IDF
Responsable Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;Moins de 50;91;Internalisée (tout est géré en interne);301 à 500;NC;10;Oui;- de 500;1;15 à 20 ans;0;40500;Oui;Non;33;Femme;26 à 35 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+5;Entreprise;Transport / Logistique;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;4 à 6;Non;NC;NC;1 à 3 ans;3;40000;Oui;Oui, écrit et oral;92;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;+ 12 ans;Bac+5;Entreprise;Commerce / Négoce / Distribution;2500 à 5000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);701;NC;2 à 3;Oui;1 501 à 3 000;11 à 20;+ de 21 ans;2;79800;Oui;Non;1;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie;8 à 12 ans;Bac+3;Cabinet d'Expertise Comptable;NC;2500 à 5000;41 à 60;Totalement externalisée (la production du BS est gérée par le prestataire);NC;301 à 500;6 à 10;Non;NC;NC;15 à 20 ans;2;40000;Non;Oui, écrit;92;Femme;46 à 55 ans;Gestionnaire Paie;IDF
Responsable Paie;+ 12 ans;Bac;Entreprise;Industries;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);501 à 700;NC;2 à 3;Non;NC;NC;+ de 21 ans;2;70000;Oui;Oui, écrit;78;Femme;36 à 45 ans;Responsable Paie;IDF
Gestionnaire Paie;4 à 7 ans;Bac+2;Entreprise;Opéra;2500 à 5000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Non;NC;NC;4 à 7 ans;2;41000;Oui;Non;75;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Directeur/trice Paie;- 1 an;Bac+3;Entreprise;Commerce / Négoce / Distribution;10 001 à 30 000;NC;Internalisée (tout est géré en interne);0;NC;10;Oui;3 001 à 5 000;11 à 20;15 à 20 ans;2;62000;Oui;Non;91;Homme;+ 56 ans;Responsable Paie;IDF
Gestionnaire Paie & ADP;8 à 12 ans;Bac+2;Entreprise;Associatif;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;8 à 12 ans;2;33600;Non;Non;75;Femme;36 à 45 ans;Gestionnaire Paie;IDF
Responsable Paie & SIRH;+ 12 ans;Bac+3;Entreprise;Médico Social;2500 à 5000;NC;Internalisée (tout est géré en interne);701;NC;2 à 3;Oui;3 001 à 5 000;2 à 5;+ de 21 ans;1;55000;Non;Non;33;Homme;46 à 55 ans;Responsable Paie;Hors IDF
Responsable Paie Adjoint(e);+ 12 ans;Bac+2;Cabinet d'Expertise Comptable;NC;51 à 250;41 à 60;Internalisée (tout est géré en interne);501 à 700;NC;10;Oui;- de 500;2 à 5;15 à 20 ans;3;45000;Oui;Non;13;Femme;46 à 55 ans;Responsable Adjoint Paie;Hors IDF
Gestionnaire Paie;4 à 7 ans;Bac+3;Cabinet d'Expertise Comptable;NC;51 à 250;41 à 60;Totalement externalisée (la production du BS est gérée par le prestataire);NC;301 à 500;10;Non;NC;NC;4 à 7 ans;2;34500;Non;Non;91;Femme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie;8 à 12 ans;Bac+5;Entreprise;BTP / Travaux / Construction;251 à 1000;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Oui;- de 500;2 à 5;15 à 20 ans;2;70000;Oui;Non;92;Femme;46 à 55 ans;Responsable Paie;IDF
Responsable Paie;8 à 12 ans;Bac+3;Entreprise;Banque / Assurance / Mutuelle;251 à 1000;NC;Internalisée (tout est géré en interne);501 à 700;NC;1;Oui;501 à 1 500;2 à 5;15 à 20 ans;3;50000;Oui;Non;69;Femme;36 à 45 ans;Responsable Paie;Hors IDF
Gestionnaire Paie & ADP;1 à 3 ans;Bac+2;Cabinet d'Expertise Comptable;NC;Moins de 50;41 à 60;Totalement externalisée (la production du BS est gérée par le prestataire);NC;151 à 300;6 à 10;Non;NC;NC;1 à 3 ans;3;39000;Oui;Non;92;Homme;26 à 35 ans;Gestionnaire Paie;IDF
Responsable Paie;1 à 3 ans;Bac+3;Entreprise;Industries;251 à 1000;NC;Semi externalisée (le prestataire paie prend certains sujets en charge);151 à 300;NC;1;Non;NC;NC;8 à 12 ans;3;58000;Oui;Oui, écrit et oral;78;Femme;36 à 45 ans;Responsable Paie;IDF
Responsable Paie;+ 12 ans;Bac;Entreprise;Industries;1000 à 2500;NC;Internalisée (tout est géré en interne);301 à 500;NC;1;Non;NC;NC;+ de 21 ans;5;57000;Oui;Oui, écrit et oral;67;Femme;46 à 55 ans;Responsable Paie;Hors IDF
